Date,Value
2011-01-09,1
2011-02-18,5
2011-02-19,14
2011-02-20,11
2011-02-21,14
2011-02-22,7
2011-02-23,4
2011-02-24,7
2011-02-25,4
2011-02-26,5
2011-02-27,5
2011-02-28,16
2011-03-01,10
2011-03-02,11
2011-03-03,3
2011-03-01,3
2011-03-02,6
2011-03-03,11
2011-03-04,10
2011-03-05,12
2011-03-06,17
2011-03-07,5
2011-03-08,3
2011-03-09,7
2011-03-10,9
2011-03-11,10
2011-03-12,19
2011-03-13,9
2011-03-14,7
2011-03-15,7
2011-03-16,6
2011-03-17,8
2011-03-18,10
2011-03-19,3
2011-03-20,9
2011-03-21,8
2011-03-22,13
2011-03-23,10
2011-03-24,13
2011-03-25,11
2011-03-26,13
2011-03-27,8
2011-03-28,14
2011-03-29,16
2011-03-30,6
2011-03-31,19
2011-04-01,12
2011-04-02,5
2011-04-03,9
2011-04-04,7
2011-04-05,6
2011-04-06,16
2011-04-07,19
2011-04-08,9
2011-04-09,19
2011-04-10,16
2011-04-11,12
2011-04-12,9
2011-04-13,9
2011-04-14,17
2011-04-15,10
2011-04-16,8
2011-04-17,14
2011-04-18,9
2011-04-19,8
2011-04-20,4
2011-04-21,15
2011-04-22,16
2011-04-23,15
2011-04-24,10
2011-04-25,17
2011-04-26,4
2011-04-27,12
2011-04-28,9
2011-05-01,14
2011-05-02,8
2011-05-03,15
2011-05-04,15
2011-05-05,11
2011-05-06,9
2011-05-07,6
2011-05-08,4
2011-05-09,8
2011-05-10,14
2011-05-11,22
2011-05-12,4
2011-05-13,5
2011-05-14,11
2011-05-15,5
2011-05-16,8
2011-05-17,9
2011-05-18,12
2011-05-19,6
2011-05-20,13
2011-05-21,16
2011-05-22,9
2011-05-23,8
2011-05-24,3
2011-05-25,13
2011-05-26,9
2011-05-27,7
2011-05-28,10
2011-05-29,7
2011-05-30,11
2011-05-31,25
2011-06-01,10
2011-06-02,7
2011-06-03,10
2011-06-04,8
2011-06-05,10
2011-06-06,12
2011-06-07,22
2011-06-08,7
2011-06-09,13
2011-06-10,14
2011-06-11,18
2011-06-12,10
2011-06-13,13
2011-06-14,16
2011-06-15,14
2011-06-16,3
2011-06-17,8
2011-06-18,9
2011-06-19,13
2011-06-20,9
2011-06-21,11
2011-06-22,15
2011-06-23,4
2011-06-24,13
2011-06-25,9
2011-06-26,9
2011-06-27,7
2011-06-28,19
2011-06-29,15
2011-06-30,8
2011-07-01,12
2011-07-02,14
2011-07-03,15
2011-07-04,5
2011-07-05,13
2011-07-06,11
2011-07-07,5
2011-07-08,12
2011-07-09,19
2011-07-10,15
2011-07-11,17
2011-07-12,39
2011-07-13,10
2011-07-14,12
2011-07-15,11
2011-07-16,20
2011-07-17,13
2011-07-18,14
2011-07-19,17
2011-07-20,19
2011-07-21,7
2011-07-22,11
2011-07-23,7
2011-07-24,10
2011-07-25,7
2011-07-26,12
2011-07-27,12
2011-07-28,12
2011-07-29,9
2011-07-30,12
2011-07-31,18
2011-08-01,13
2011-08-02,23
2011-08-03,12
2011-08-04,10
2011-08-05,12
2011-08-06,13
2011-08-07,15
2011-08-08,13
2011-08-09,13
2011-08-10,15
