Date,Value
2012-06-24,150320
2012-06-25,270162
2012-06-26,339686
2012-06-27,357846
2012-06-28,327167
2012-06-29,330461
2012-06-30,170829
2012-07-01,143598
2012-07-02,274064
2012-07-03,292447
2012-07-04,224115
2012-07-05,220887
2012-07-06,114942
2012-07-07,145711
2012-07-08,122433
2012-07-09,80686
2012-07-10,308459
2012-07-11,197048
2012-07-12,179742
2012-07-13,232299
2012-07-14,188505
2012-07-15,178056
2012-07-16,312072
2012-07-17,388563
2012-07-18,169950
2012-07-19,306883
2012-07-20,302299
2012-07-21,176036
2012-07-22,161449
2012-07-23,374073
2012-07-24,392098
2012-07-25,325012
2012-07-26,332992
2012-07-27,323622
2012-07-28,205510
2012-07-29,89575
2012-07-30,284679
2012-07-31,377905
2012-08-01,354733
2012-08-02,284300
2012-08-03,328519
2012-08-04,63686
2012-08-05,171873
2012-08-06,331771
2012-08-07,332568
2012-08-08,349286
2012-08-09,369433
2012-08-10,314763
2012-08-11,189909
2012-08-12,150795
2012-08-13,431828
2012-08-14,403943
2012-08-15,371713
2012-08-16,391579
2012-08-17,418937
2012-08-18,192893
2012-08-19,178512
2012-08-20,206662
2012-08-21,340350
2012-08-22,372000
2012-08-23,507473
2012-08-24,378902
2012-08-25,187920
2012-08-26,208411
2012-08-27,345774
2012-08-28,349120
2012-08-29,365569
2012-08-30,360220
2012-08-31,341460
2012-09-01,189936
2012-09-02,176861
2012-09-03,277924
2012-09-04,361245
2012-09-05,403655
2012-09-06,388466
2012-09-07,357814
2012-09-08,218990
2012-09-09,212882
2012-09-10,476204
2012-09-11,514263
2012-09-12,451040
2012-09-13,477517
2012-09-14,516103
2012-09-15,274589
2012-09-16,226766
2012-09-17,435149
2012-09-18,436583
2012-09-19,420970
2012-09-20,388845
2012-09-21,371110
2012-09-22,234526
2012-09-23,196195
2012-09-24,390061
2012-09-25,435836
2012-09-26,415497
2012-09-27,420760
2012-09-28,404138
2012-09-29,211777
2012-09-30,188564
2012-10-01,383519
2012-10-02,446170
2012-10-03,404948
2012-10-04,396380
2012-10-05,402702
2012-10-06,243308
2012-10-07,214082
2012-10-08,393699
2012-10-09,543063
2012-10-10,546949
2012-10-11,596583
2012-10-12,479789
2012-10-13,255406
2012-10-14,238436
2012-10-15,449615
2012-10-16,504371
2012-10-17,511900
2012-10-18,533619
2012-10-19,474592
2012-10-20,263696
2012-10-21,270104
2012-10-22,167995
2012-10-23,491441
2012-10-24,507953
2012-10-25,497197
2012-10-26,474497
2012-10-27,254276
2012-10-28,245447
2012-10-29,455906
2012-10-30,502216
2012-10-31,516261
2012-11-01,529294
2012-11-02,467626
2012-11-03,276191
2012-11-04,249952
2012-11-05,503130
2012-11-06,560650
2012-11-07,101005
2012-11-08,435950
2012-11-09,533408
2012-11-10,308458
2012-11-11,246362
2012-11-12,454586
2012-11-13,521128
2012-11-14,569335
2012-11-15,506653
2012-11-16,471751
2012-11-17,280555
2012-11-18,246927
2012-11-19,501558
2012-11-20,555988
2012-11-21,555156
2012-11-22,426108
2012-11-23,389263
2012-11-24,251714
2012-11-25,238080
2012-11-26,546933
2012-11-27,598155
2012-11-28,591954
2012-11-29,616670
2012-11-30,697128
2012-12-01,463117
2012-12-02,317019
2012-12-03,626431
2012-12-04,639962
2012-12-05,631818
2012-12-06,590589
2012-12-07,562031
2012-12-08,290830
2012-12-09,267960
2012-12-10,571060
2012-12-11,626831
2012-12-12,610916
2012-12-13,638424
2012-12-14,574095
2012-12-15,319290
2012-12-16,291701
2012-12-17,625578
2012-12-18,653600
2012-12-19,624323
2012-12-20,591495
2012-12-21,479270
2012-12-22,281221
2012-12-23,302977
2012-12-24,298092
2012-12-25,242023
2012-12-26,325908
2012-12-27,408439
2012-12-28,448838
2012-12-29,285363
2012-12-30,248436
2012-12-31,290967
2013-01-01,202224
2013-01-02,495129
2013-01-03,544208
2013-01-04,550898
2013-01-05,340227
2013-01-06,338273
2013-01-07,623009
2013-01-08,640477
2013-01-09,676860
2013-01-10,635687
2013-01-11,647837
2013-01-12,339824
2013-01-13,309151
2013-01-14,708256
2013-01-15,813348
2013-01-16,701251
2013-01-17,777243
2013-01-18,687245
2013-01-19,368173
2013-01-20,349198
2013-01-21,109736
